"CustomerID";"Gender";"Age";"Annual Income (k$)";"Spending Score (1-100)";"age_group";"income_level";"spending_category"
1;"Male";19;15;39;"Young";"Low Income";"Low Spender"
2;"Male";21;15;81;"Young";"Low Income";"High Spender"
3;"Female";20;16;6;"Young";"Low Income";"Low Spender"
4;"Female";23;16;77;"Young";"Low Income";"High Spender"
5;"Female";31;17;40;"Adult";"Low Income";"Medium Spender"
6;"Female";22;17;76;"Young";"Low Income";"High Spender"
7;"Female";35;18;6;"Adult";"Low Income";"Low Spender"
8;"Female";23;18;94;"Young";"Low Income";"High Spender"
9;"Male";64;19;3;"Senior";"Low Income";"Low Spender"
10;"Female";30;19;72;"Adult";"Low Income";"High Spender"
11;"Male";67;19;14;"Senior";"Low Income";"Low Spender"
12;"Female";35;19;99;"Adult";"Low Income";"High Spender"
13;"Female";58;20;15;"Senior";"Low Income";"Low Spender"
14;"Female";24;20;77;"Young";"Low Income";"High Spender"
15;"Male";37;20;13;"Adult";"Low Income";"Low Spender"
16;"Male";22;20;79;"Young";"Low Income";"High Spender"
17;"Female";35;21;35;"Adult";"Low Income";"Low Spender"
18;"Male";20;21;66;"Young";"Low Income";"Medium Spender"
19;"Male";52;23;29;"Senior";"Low Income";"Low Spender"
20;"Female";35;23;98;"Adult";"Low Income";"High Spender"
21;"Male";35;24;35;"Adult";"Low Income";"Low Spender"
22;"Male";25;24;73;"Adult";"Low Income";"High Spender"
23;"Female";46;25;5;"Senior";"Low Income";"Low Spender"
24;"Male";31;25;73;"Adult";"Low Income";"High Spender"
25;"Female";54;28;14;"Senior";"Low Income";"Low Spender"
26;"Male";29;28;82;"Adult";"Low Income";"High Spender"
27;"Female";45;28;32;"Senior";"Low Income";"Low Spender"
28;"Male";35;28;61;"Adult";"Low Income";"Medium Spender"
29;"Female";40;29;31;"Adult";"Low Income";"Low Spender"
30;"Female";23;29;87;"Young";"Low Income";"High Spender"
31;"Male";60;30;4;"Senior";"Low Income";"Low Spender"
32;"Female";21;30;73;"Young";"Low Income";"High Spender"
33;"Male";53;33;4;"Senior";"Low Income";"Low Spender"
34;"Male";18;33;92;"Young";"Low Income";"High Spender"
35;"Female";49;33;14;"Senior";"Low Income";"Low Spender"
36;"Female";21;33;81;"Young";"Low Income";"High Spender"
37;"Female";42;34;17;"Senior";"Low Income";"Low Spender"
38;"Female";30;34;73;"Adult";"Low Income";"High Spender"
39;"Female";36;37;26;"Adult";"Low Income";"Low Spender"
40;"Female";20;37;75;"Young";"Low Income";"High Spender"
41;"Female";65;38;35;"Senior";"Low Income";"Low Spender"
42;"Male";24;38;92;"Young";"Low Income";"High Spender"
43;"Male";48;39;36;"Senior";"Low Income";"Low Spender"
